"","Torque","Speed","Angle"
"483",-12.26,14.841,-25.279
"484",-12.016,14.841,-25.221
"485",-12.26,14.841,-25.163
"486",-12.016,15.231,-25.104
"487",-12.26,15.231,-25.044
"488",-12.748,14.841,-24.986
"489",-12.504,14.841,-24.928
"490",-12.504,14.841,-24.87
"491",-12.504,15.231,-24.811
"492",-12.993,14.841,-24.753
"493",-12.993,14.841,-24.695
"494",-12.748,15.231,-24.636
"495",-12.748,14.841,-24.578
"496",-12.748,14.841,-24.52
"497",-12.993,15.231,-24.46
"498",-13.237,15.231,-24.401
"499",-13.237,14.841,-24.343
"500",-12.748,14.841,-24.285
"501",-13.237,14.841,-24.227
"502",-12.993,15.231,-24.167
"503",-13.237,14.841,-24.109
"504",-12.993,15.231,-24.05
"505",-12.993,14.841,-23.992
"506",-12.993,14.841,-23.934
"507",-13.237,15.231,-23.874
"508",-13.237,14.841,-23.816
"509",-13.237,14.841,-23.758
"510",-12.748,14.841,-23.7
"511",-12.748,15.231,-23.641
"512",-13.237,15.231,-23.581
"513",-12.993,14.841,-23.523
"514",-12.993,15.231,-23.464
"515",-12.504,14.841,-23.406
"516",-12.748,14.841,-23.348
"517",-12.504,14.841,-23.29
"518",-12.504,14.841,-23.232
"519",-12.748,15.231,-23.173
"520",-12.26,15.231,-23.113
"521",-12.748,14.841,-23.055
"522",-12.26,14.841,-22.997
"523",-12.26,15.231,-22.938
"524",-12.504,14.841,-22.88
"525",-12.748,14.841,-22.822
"526",-12.504,15.231,-22.762
"527",-12.016,14.841,-22.704
"528",-12.26,15.231,-22.645
"529",-12.504,14.841,-22.587
"530",-12.016,14.841,-22.529
"531",-12.504,14.841,-22.471
"532",-12.748,15.231,-22.411
"533",-12.748,14.841,-22.353
"534",-12.26,15.231,-22.294
"535",-12.26,14.841,-22.236
"536",-12.748,14.841,-22.178
"537",-12.26,15.231,-22.118
"538",-12.26,14.841,-22.06
"539",-12.26,15.231,-22.001
"540",-12.748,14.841,-21.943
"541",-12.26,14.841,-21.885
"542",-12.504,14.841,-21.827
"543",-12.504,15.231,-21.768
"544",-12.504,14.841,-21.71
"545",-12.26,15.231,-21.65
"546",-12.26,14.841,-21.592
"547",-12.504,14.841,-21.534
"548",-12.26,15.231,-21.475
"549",-12.26,14.841,-21.417
"550",-12.748,14.841,-21.359
"551",-12.748,15.231,-21.299
"552",-12.26,14.841,-21.241
"553",-12.504,15.231,-21.182
"554",-12.748,14.841,-21.124
"555",-12.748,15.231,-21.064
"556",-12.504,14.841,-21.006
"557",-12.504,14.841,-20.948
"558",-12.993,14.841,-20.89
"559",-12.748,15.231,-20.831
"560",-12.504,15.231,-20.771
"561",-12.748,14.841,-20.713
"562",-12.993,14.841,-20.655
"563",-12.748,15.231,-20.596
"564",-12.504,14.841,-20.538
"565",-12.748,14.841,-20.48
"566",-12.748,14.841,-20.422
"567",-12.748,15.231,-20.362
"568",-12.748,14.841,-20.305
"569",-13.237,15.231,-20.245
"570",-13.237,14.841,-20.187
"571",-12.993,14.841,-20.129
"572",-12.993,14.841,-20.071
"573",-13.481,15.231,-20.012
"574",-13.481,15.231,-19.952
"575",-13.237,14.841,-19.894
"576",-13.237,15.231,-19.835
"577",-13.481,14.841,-19.777
"578",-13.481,14.841,-19.719
"579",-13.481,14.841,-19.661
"580",-13.481,15.231,-19.601
"581",-13.969,14.841,-19.543
"582",-13.725,15.231,-19.484
"583",-13.725,14.841,-19.426
"584",-14.213,14.841,-19.368
"585",-14.213,15.231,-19.308
"586",-13.969,14.841,-19.25
"587",-14.213,14.841,-19.192
"588",-14.457,15.231,-19.133
"589",-14.702,14.841,-19.075
"590",-14.457,15.231,-19.015
"591",-14.457,14.841,-18.957
"592",-14.702,14.841,-18.899
